PlayerID,PlayerName,Season,GameType,Team,Position,GP,G,A,P,PlusMinus,PIM,P/GP,PPG,PPP,SHG,SHP,GWG,OTG,S,S%,TOI/GP,TOI/GP_sec,Shifts/GP,FOW%
8460588,Eric Nickulas,2000-2001,Regular Season,BOS,R,7,0,0,0,-2,4,0.00,0,0,0,0,0,0,6,0.0,00:07:07,427,10.6,100.0
8458517,Scott Niedermayer,2000-2001,Regular Season,NJD,D,57,6,29,35,14,22,0.61,1,11,0,0,5,0,87,6.9,00:23:19,1399,23.8,0.0
8459427,Rob Niedermayer,2000-2001,Regular Season,FLA,C,67,12,20,32,-12,50,0.48,3,8,1,2,0,0,115,10.4,00:20:29,1229,24.9,45.0
8467362,Chris Nielsen,2000-2001,Regular Season,CBJ,R,29,4,5,9,4,4,0.31,0,0,0,0,1,0,36,11.1,00:10:30,630,13.7,55.6
8457511,Jeff Nielsen,2000-2001,Regular Season,MIN,R,59,3,8,11,-16,4,0.19,1,1,0,1,1,0,82,3.7,00:13:33,813,20.7,100.0
8465034,Antti Jussi Niemi,2000-2001,Regular Season,ANA,D,28,1,1,2,-6,22,0.07,0,0,0,0,0,0,18,5.6,00:15:56,956,22.6,0.0
8466210,Ville Nieminen,2000-2001,Regular Season,COL,L,50,14,8,22,8,38,0.44,2,5,0,0,3,0,68,20.6,00:12:26,746,20.0,33.3
8449893,Joe Nieuwendyk,2000-2001,Regular Season,DAL,C,69,29,23,52,5,30,0.75,12,20,0,0,4,1,166,17.5,00:16:10,970,21.8,57.2
8459458,Janne Niinimaa,2000-2001,Regular Season,EDM,D,82,12,34,46,6,90,0.56,8,23,0,1,1,0,122,9.8,00:25:20,1520,26.5,0.0
8458983,Andrei Nikolishin,2000-2001,Regular Season,WSH,C,81,13,25,38,9,34,0.47,4,7,0,3,2,1,145,9.0,00:15:32,932,19.6,55.4
8465253,Marcus Nilson,2000-2001,Regular Season,FLA,L,78,12,24,36,-3,74,0.46,0,6,0,0,2,0,141,8.5,00:15:46,946,20.5,40.8
8449895,Owen Nolan,2000-2001,Regular Season,SJS,R,57,24,25,49,0,75,0.86,10,21,1,1,4,0,191,12.6,00:21:49,1309,24.6,46.9
8458984,Mattias Norstrom,2000-2001,Regular Season,LAK,D,82,0,18,18,10,60,0.22,0,0,0,0,0,0,59,0.0,00:21:49,1309,26.7,0.0
8449902,Jeff Norton,2000-2001,Regular Season,"PIT, SJS",D,42,2,11,13,12,28,0.31,1,1,0,1,1,0,22,9.1,00:18:41,1121,21.9,0.0
8466225,Ivan Novoseltsev,2000-2001,Regular Season,FLA,R,38,3,6,9,-5,16,0.24,0,1,0,0,0,0,34,8.8,00:10:43,643,15.2,0.0
8468613,Petteri Nummelin,2000-2001,Regular Season,CBJ,D,61,4,12,16,-11,10,0.26,2,10,0,0,0,0,99,4.0,00:17:13,1033,19.6,0.0
8449924,Teppo Numminen,2000-2001,Regular Season,PHX,D,72,5,26,31,9,36,0.43,1,22,0,0,2,0,109,4.6,00:24:28,1468,28.2,0.0
8465167,Kai Nurminen,2000-2001,Regular Season,MIN,L,2,1,0,1,-1,2,0.50,0,0,0,0,0,0,1,100.0,00:15:34,934,21.0,0.0
8458573,Michael Nylander,2000-2001,Regular Season,CHI,C,82,25,39,64,7,32,0.78,4,15,0,2,5,0,176,14.2,00:18:51,1131,21.1,48.3
8458637,Sean O'Donnell,2000-2001,Regular Season,"MIN, NJD",D,80,4,13,17,0,161,0.21,1,2,0,1,2,1,67,6.0,00:21:36,1296,27.6,50.0
8460495,Jeff O'Neill,2000-2001,Regular Season,CAR,C,82,41,26,67,-18,106,0.82,17,29,0,0,5,1,242,16.9,00:18:20,1100,23.0,50.0
8449951,Adam Oates,2000-2001,Regular Season,WSH,C,81,13,69,82,-9,28,1.01,5,42,0,2,4,1,72,18.1,00:20:59,1259,22.6,58.9
8462220,Jaroslav Obsut,2000-2001,Regular Season,STL,D,4,0,0,0,1,2,0.00,0,0,0,0,0,0,3,0.0,00:18:30,1110,24.5,0.0
8449957,Lyle Odelein,2000-2001,Regular Season,CBJ,D,81,3,14,17,-16,118,0.21,1,7,0,0,0,0,104,2.9,00:21:31,1291,26.7,0.0
8457566,Jeff Odgers,2000-2001,Regular Season,ATL,R,82,6,7,13,-8,226,0.16,0,0,0,0,1,0,67,9.0,00:08:38,518,12.1,50.0
8449961,Gino Odjick,2000-2001,Regular Season,"PHI, MTL",L,30,2,3,5,0,72,0.17,0,0,0,0,0,0,32,6.3,00:07:54,474,12.5,33.3
8460503,Mattias Ohlund,2000-2001,Regular Season,VAN,D,65,8,20,28,-16,46,0.43,1,9,1,4,4,2,136,5.9,00:25:00,1500,32.2,0.0
8458658,David Oliver,2000-2001,Regular Season,OTT,R,7,0,0,0,0,2,0.00,0,0,0,0,0,0,2,0.0,00:05:37,337,7.9,0.0
8459486,Krzysztof Oliwa,2000-2001,Regular Season,"CBJ, PIT",L,36,1,4,5,-3,165,0.14,0,0,0,0,0,0,22,4.5,00:05:03,303,8.0,100.0
8458544,Sandis Ozolinsh,2000-2001,Regular Season,CAR,D,72,12,32,44,-25,71,0.61,4,19,2,3,2,1,145,8.3,00:22:11,1331,24.8,0.0
8465192,Samuel Pahlsson,2000-2001,Regular Season,"BOS, ANA",C,76,4,5,9,-14,20,0.12,1,1,1,1,1,0,59,6.8,00:14:14,854,19.1,44.0
8458540,Ziggy Palffy,2000-2001,Regular Season,LAK,R,73,38,51,89,22,20,1.22,12,40,4,4,8,1,217,17.5,00:19:46,1186,22.5,80.0
